driverId,predicted_points,Q3_probability,Q2_probability,Q1_probability
norris,28.5211717432983,0.9968058232228444,0.0060120240480961915,0.0
russell,25.01487063789762,0.9964427212530685,0.006012024048096193,0.0
leclerc,23.887073976370797,0.9904074159012364,0.012040176933343548,0.0
verstappen,23.40403671977801,0.9841246203950536,0.01805220098143974,0.0
hamilton,22.86854206048867,0.9979227492665305,0.0,0.0
sainz,20.79934498908361,0.9577577695204069,0.04213253865451523,0.0
piastri,19.05277982554798,0.9472860821837539,0.05215259492828716,0.0
gasly,10.277018610658173,0.7191017859813752,0.2629846409909506,0.018036072144288574
hulkenberg,9.561533383427358,0.685167015037593,0.27302889052044915,0.04004809619238477
alonso,4.603082120352699,0.3262693939862853,0.5039935389432959,0.1722126019106486
perez,4.497502527746428,0.3222208287542827,0.49188897621024047,0.18622464205519473
albon,3.9577544838395906,0.256192999358905,0.481913201367382,0.2643490837095878
magnussen,3.25159685373911,0.1740881763527054,0.5201303757385886,0.30240122011090453
tsunoda,3.2214794295740576,0.2040681362725451,0.5040621107916058,0.28839721209487246
bottas,2.9081401848621105,0.15608035425690092,0.449804451614112,0.39453367779736176
colapinto,2.4449160876420337,0.09201603206412826,0.4338572824946557,0.4746582160304545
lawson,2.392294126763371,0.08001603206412825,0.2972177982624805,0.6210999026164779
zhou,2.3584073300189874,0.06802404809619239,0.3493863924790261,0.5809071476285905
stroll,2.2224580501426376,0.04600801603206413,0.295330780993435,0.6571321277092337
